Title,Author,Century,Sentiment,Subjectivity,Word Count,Top Words
Hamlet,William Shakespeare,17th,0.153345427,0.527303688,33163,"hamlet, lord, king, _, horatio"
Macbeth,William Shakespeare,17th,0.12244352,0.502120393,19267,"macbeth, macduff, _, lady, thou"
Othello,William Shakespeare,17th,0.059965432,0.494115239,14651,"bartleby, would, upon, said, one"
King Lear,William Shakespeare,17th,0.153553835,0.540481552,25362,"thou, lear, haue, thy, kent"
Paradise Lost,John Milton,17th,0.127171291,0.499755584,82964,"thir, n, thy, heav, thou"
Paradise Regained,John Milton,17th,0.15171242,0.517687399,16125,"thou, thy, thee, god, st"
The Pilgrim's Progress,John Bunyan,17th,0.141783254,0.480389857,58865,"said, chr, christian, man, way"
Leviathan,Thomas Hobbes,17th,0.116200816,0.464303451,214424,"man, god, men, one, power"
Essays,Francis Bacon,17th,0.19802689,0.514797985,6378,"thou, thy, love, thee, heart"
The Duchess of Malfi,John Webster,17th,0.132178545,0.54767987,27458,"bosola, duchess, antonio, ferdinand, cardinal"
"Volpone; Or, The Fox",Ben Jonson,17th,0.13441645,0.524792329,50521,"sir, mos, volp, jonson, p"
Religio Medici,Thomas Browne,17th,0.12682731,0.507428474,60266,"unto, yet, one, upon, god"
Robinson Crusoe,Daniel Defoe,18th,0.10513906,0.476856204,121876,"could, upon, would, one, two"
Moll Flanders,Daniel Defoe,18th,0.124295336,0.511768268,138844,"would, could, told, says, said"
Gulliver's Travels,Jonathan Swift,18th,0.115340153,0.476812351,105715,"could, upon, would, great, one"
Candide,Voltaire,18th,0.146044042,0.507395048,36174,"candide, said, one, cunegonde, two"
"Pamela, or Virtue Rewarded",Samuel Richardson,18th,0.146575577,0.566067309,225816,"said, would, good, mrs, sir"
Clarissa,Samuel Richardson,18th,0.127308067,0.545077245,13015,"god, sin, us, jesus, bible"
The Mysteries of Udolpho,Ann Radcliffe,18th,0.07591467,0.503851194,293841,"emily, said, would, montoni, could"
The Castle of Otranto,Horace Walpole,18th,0.094430584,0.524769805,37159,"said, manfred, isabella, thou, matilda"
Tom Jones,Henry Fielding,18th,0.131063336,0.520051497,354304,"jones, would, mr, one, said"
Tristram Shandy,Laurence Sterne,18th,0.115098734,0.474657594,192453,"upon, uncle, _toby_, father, one"
Fanny Hill,John Cleland,18th,0.133209903,0.516936683,85159,"could, one, pleasure, made, would"
Rasselas,Samuel Johnson,18th,0.108148381,0.395576426,2848,"gutenberg, project, tm, 1, work"
Pride and Prejudice,Jane Austen,19th,0.134062225,0.522406162,128755,"mr, elizabeth, could, would, darcy"
Sense and Sensibility,Jane Austen,19th,0.131623542,0.532718429,120880,"elinor, could, marianne, mrs, would"
Jane Eyre,Charlotte Brontë,19th,0.083951724,0.50233006,189431,"would, one, said, mr, could"
Wuthering Heights,Emily Brontë,19th,0.046163285,0.509833608,119377,"heathcliff, would, linton, catherine, said"
Frankenstein,Mary Shelley,19th,0.100860327,0.53956271,75379,"one, could, would, yet, man"
David Copperfield,Charles Dickens,19th,0.113095724,0.502462112,363880,"said, mr, little, would, one"
Great Expectations,Charles Dickens,19th,0.076975308,0.489935385,189054,"said, joe, mr, would, one"
Tess of the D’Urbervilles,Thomas Hardy,19th,0.068550989,0.474798401,154664,"tess, said, would, one, could"
The Picture of Dorian Gray,Oscar Wilde,19th,0.06991382,0.545897334,80461,"one, dorian, would, said, lord"
Dracula,Bram Stoker,19th,0.075328822,0.50294538,163951,"said, one, could, us, must"
The Scarlet Letter,Nathaniel Hawthorne,19th,0.087447016,0.497189425,84935,"hester, would, pearl, one, thou"
Les Misérables,Victor Hugo,19th,0.078040163,0.494339947,574806,"one, man, said, marius, jean"
The Metamorphosis,Franz Kafka,20th,0.042748203,0.478455261,22384,"gregor, would, room, could, father"
The Secret Garden,Frances Hodgson Burnett,20th,0.086560989,0.501417657,83174,"said, mary, th, like, one"
The Call of the Wild,Jack London,20th,0.040956931,0.467949761,32369,"buck, dogs, one, thornton, man"
White Fang,Jack London,20th,0.040684661,0.426250145,73794,"white, fang, one, upon, dogs"
My Ántonia,Willa Cather,20th,0.076046698,0.466076244,83472,"like, one, ántonia, said, could"
Sons and Lovers,D. H. Lawrence,20th,0.061962356,0.495251297,165709,"said, paul, morel, mother, went"
